樹鴨 ㄕㄨˋ-ㄧㄚ
黑頭文鳥 ㄏㄟ-ㄊㄡˊ-ㄨㄣˊ-ㄋㄧㄠˇ
橙頰梅花雀 ㄔㄥˊ-ㄐㄧㄚˊ-ㄇㄟˊ-ㄏㄨㄚ-ㄑㄩㄝˋ
岩鷚 ㄧㄢˊ-ㄌㄧㄡˋ
棕眉山岩鷚 ㄗㄨㄥ-ㄇㄟˊ-ㄕㄢ-ㄧㄢˊ-ㄌㄧㄡˋ
山麻雀 ㄕㄢ-ㄇㄚˊ-ㄑㄩㄝˋ
山鶺鴒 ㄕㄢ-ㄐㄧˊ-ㄌㄧㄥˊ
灰鶺鴒 ㄏㄨㄟ-ㄐㄧˊ-ㄌㄧㄥˊ
西方黃鶺鴒 ㄒㄧ-ㄈㄤ-ㄏㄨㄤˊ-ㄐㄧˊ-ㄌㄧㄥˊ
東方黃鶺鴒 ㄉㄨㄥ-ㄈㄤ-ㄏㄨㄤˊ-ㄐㄧˊ-ㄌㄧㄥˊ
黃頭鶺鴒 ㄏㄨㄤˊ-ㄊㄡˊ-ㄐㄧˊ-ㄌㄧㄥˊ
日本鶺鴒 ㄖˋ-ㄅㄣˇ-ㄐㄧˊ-ㄌㄧㄥˊ
白鶺鴒 ㄅㄞˊ-ㄐㄧˊ-ㄌㄧㄥˊ
大花鷚 ㄉㄚˋ-ㄏㄨㄚ-ㄌㄧㄡˋ
稻田鷚 ㄉㄠˋ-ㄊㄧㄢˊ-ㄌㄧㄡˋ
布萊氏鷚 ㄅㄨˋ-ㄌㄞˊ-ㄕˋ-ㄌㄧㄡˋ
草地鷚 ㄘㄠˇ-ㄉㄧˋ-ㄌㄧㄡˋ
粉紅胸鷚 ㄈㄣˇ-ㄏㄨㄥˊ-ㄒㄩㄥ-ㄌㄧㄡˋ
林鷚 ㄌㄧㄣˊ-ㄌㄧㄡˋ
樹鷚 ㄕㄨˋ-ㄌㄧㄡˋ
白背鷚 ㄅㄞˊ-ㄅㄟˋ-ㄌㄧㄡˋ
赤喉鷚 ㄔˋ-ㄏㄡˊ-ㄌㄧㄡˋ
水鷚 ㄕㄨㄟˇ-ㄌㄧㄡˋ
黃腹鷚 ㄏㄨㄤˊ-ㄈㄨˋ-ㄌㄧㄡˋ
花雀 ㄏㄨㄚ-ㄑㄩㄝˋ
臘嘴雀 ㄌㄚˋ-ㄗㄨㄟˇ-ㄑㄩㄝˋ
小桑鳲 ㄒㄧㄠˇ-ㄙㄤ-ㄕ
桑鳲 ㄙㄤ-ㄕ
普通朱雀 ㄆㄨˇ-ㄊㄨㄥ-ㄓㄨ-ㄑㄩㄝˋ
臺灣朱雀 ㄊㄞˊ-ㄨㄢ-ㄓㄨ-ㄑㄩㄝˋ
北朱雀 ㄅㄟˇ-ㄓㄨ-ㄑㄩㄝˋ
褐鷽 ㄏㄜˊ-ㄒㄩㄝˊ
灰鷽 ㄏㄨㄟ-ㄒㄩㄝˊ
歐亞鷽 ㄡ-ㄧㄚˇ-ㄒㄩㄝˊ
金翅雀 ㄐㄧㄣ-ㄔˋ-ㄑㄩㄝˋ
赤胸朱頂雀 ㄔˋ-ㄒㄩㄥ-ㄓㄨ-ㄉㄧㄥˇ-ㄑㄩㄝˋ
普通朱頂雀 ㄆㄨˇ-ㄊㄨㄥ-ㄓㄨ-ㄉㄧㄥˇ-ㄑㄩㄝˋ
紅交嘴雀 ㄏㄨㄥˊ-ㄐㄧㄠ-ㄗㄨㄟˇ-ㄑㄩㄝˋ
黃雀 ㄏㄨㄤˊ-ㄑㄩㄝˋ
鐵爪鵐 ㄊㄧㄝˇ-ㄓㄨㄚˇ-ㄨˊ
雪鵐 ㄒㄩㄝˇ-ㄨˊ
冠鵐 ㄍㄨㄢˋ-ㄨˊ
黑頭鵐 ㄏㄟ-ㄊㄡˊ-ㄨˊ
褐頭鵐 ㄏㄜˊ-ㄊㄡˊ-ㄨˊ
赤胸鵐 ㄔˋ-ㄒㄩㄥ-ㄨˊ
草鵐 ㄘㄠˇ-ㄨˊ
白頂鵐 ㄅㄞˊ-ㄉㄧㄥˇ-ㄨˊ
白頭鵐 ㄅㄞˊ-ㄊㄡˊ-ㄨˊ
圃鵐 ㄆㄨˇ-ㄨˊ
黃喉鵐 ㄏㄨㄤˊ-ㄏㄡˊ-ㄨˊ
紅頸葦鵐 ㄏㄨㄥˊ-ㄐㄧㄥˇ-ㄨㄟˇ-ㄨˊ
葦鵐 ㄨㄟˇ-ㄨˊ
蘆鵐 ㄌㄨˊ-ㄨˊ
金鵐 ㄐㄧㄣ-ㄨˊ
小鵐 ㄒㄧㄠˇ-ㄨˊ
田鵐 ㄊㄧㄢˊ-ㄨˊ
野鵐 ㄧㄝˇ-ㄨˊ
灰頭黑臉鵐 ㄏㄨㄟ-ㄊㄡˊ-ㄏㄟ-ㄌㄧㄢˇ-ㄨˊ
黃喉黑臉鵐 ㄏㄨㄤˊ-ㄏㄡˊ-ㄏㄟ-ㄌㄧㄢˇ-ㄨˊ
鏽鵐 ㄒㄧㄡˋ-ㄨˊ
黃眉鵐 ㄏㄨㄤˊ-ㄇㄟˊ-ㄨˊ
白眉鵐 ㄅㄞˊ-ㄇㄟˊ-ㄨˊ
灰鵐 ㄏㄨㄟ-ㄨˊ
稀樹草鵐 ㄒㄧ-ㄕㄨˋ-ㄘㄠˇ-ㄨˊ
